ano_aih,uf_sigla,nome_municipio,regiao_nome,numero_habitantes,qtd_total,vl_total,vl_02,vl_03,vl_04,vl_05,vl_07,vl_0409,vl_0415,vl_0304,vl_0201,vl_0202
2019,AC,Acrelândia                      ,Norte,,676.0,32282.01,1.26,30560.56,,,,,,,,
2019,AC,Assis Brasil                    ,Norte,,437.0,37872.15,,37872.15,,,,,,,,
2019,AC,Brasiléia                       ,Norte,,17952.0,752129.2,7935.7,433329.63,293483.31,,,4700.61,521.77,826.74,,5.0
2019,AC,Bujari                          ,Norte,,,,,,,,,,,,,
2019,AC,Capixaba                        ,Norte,,,,,,,,,,,,,
2019,AC,Cruzeiro do Sul                 ,Norte,,148094.0,4073569.78,149096.68,1873553.45,1685991.46,,83360.66,80552.44,17875.33,1621.46,318.23,
2019,AC,Epitaciolândia                  ,Norte,,,,,,,,,,,,,
2019,AC,Feijó                           ,Norte,,1675.0,97126.6,1.0,64103.1,27286.5,,,,,,,
2019,AC,Jordão                          ,Norte,,,,,,,,,,,,,
2019,AC,Mâncio Lima                     ,Norte,,1196.0,34618.94,,32626.94,,,,,,,,
2019,AC,Manoel Urbano                   ,Norte,,2704.0,97010.28,80.0,92610.28,,,,,,,,
2019,AC,Marechal Thaumaturgo            ,Norte,,342.0,35631.3,,34071.3,,,,,,,,
2019,AC,Plácido de Castro               ,Norte,,4434.0,169829.93,17.0,159248.69,5109.96,,,,,137.79,,5.0
2019,AC,Porto Acre                      ,Norte,,,,,,,,,,,,,
2019,AC,Porto Walter                    ,Norte,,,,,,,,,,,,,
2019,AC,Rio Branco                      ,Norte,,619694.0,24792404.38,409121.96,6787816.88,8388070.7,958970.96,946691.88,308691.21,148184.09,191959.5,14843.52,1561.0
2019,AC,Rodrigues Alves                 ,Norte,,824.0,51600.46,,48992.46,,,,,,,,
2019,AC,Santa Rosa do Purus             ,Norte,,452.0,33290.35,,31858.35,,,,,,,,
2019,AC,Senador Guiomard                ,Norte,,4011.0,118271.45,,112007.45,,,,,,696.87,,
2019,AC,Sena Madureira                  ,Norte,,21307.0,700238.23,505.0,561011.93,98057.27,,,,,461.78,,
2019,AC,Tarauacá                        ,Norte,,14904.0,840937.16,580.8,561790.21,253574.15,,,,,741.63,,
2019,AC,Xapuri                          ,Norte,,8840.0,178132.22,,164924.22,,,,,,,,
2019,AL,Água Branca                     ,Nordeste,,790.0,110955.52,,110547.52,,,,,,1102.32,,
2019,AL,Anadia                          ,Nordeste,,,,,,,,,,,,,
2019,AL,Arapiraca                       ,Nordeste,,1349377.0,38773809.36,788744.43,13576823.91,11612709.62,121613.01,2782640.7,511296.02,265021.27,752869.38,1880.1,504.0
2019,AL,Atalaia                         ,Nordeste,,1048.0,124763.8,238.0,123589.8,,,,,,,,
2019,AL,Barra de Santo Antônio          ,Nordeste,,,,,,,,,,,,,
2019,AL,Barra de São Miguel             ,Nordeste,,,,,,,,,,,,,
2019,AL,Batalha                         ,Nordeste,,2625.0,555683.1,,153536.42,398362.68,,,186449.15,,,,
2019,AL,Belém                           ,Nordeste,,,,,,,,,,,,,
2019,AL,Belo Monte                      ,Nordeste,,,,,,,,,,,,,
2019,AL,Boca da Mata                    ,Nordeste,,849.0,55773.02,,53356.64,,,,,,,,
2019,AL,Branquinha                      ,Nordeste,,,,,,,,,,,,,
2019,AL,Cacimbinhas                     ,Nordeste,,,,,,,,,,,,,
2019,AL,Cajueiro                        ,Nordeste,,,,,,,,,,,,,
2019,AL,Campestre                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Campo Alegre                    ,Nordeste,,1908.0,150963.86,,145539.86,,,,,,505.23,,
2019,AL,Campo Grande                    ,Nordeste,,,,,,,,,,,,,
2019,AL,Canapi                          ,Nordeste,,,,,,,,,,,,,
2019,AL,Capela                          ,Nordeste,,2281.0,144509.79,,131831.77,6066.02,,,4285.72,,,,
2019,AL,Carneiros                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Chã Preta                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Coité do Nóia                   ,Nordeste,,,,,,,,,,,,,
2019,AL,Colônia Leopoldina              ,Nordeste,,211.0,49730.17,,48922.17,,,,,,,,
2019,AL,Coqueiro Seco                   ,Nordeste,,,,,,,,,,,,,
2019,AL,Coruripe                        ,Nordeste,,144371.0,8491565.38,5818.4,1244060.28,3660835.21,,79809.77,108254.23,601360.91,,188.26,9.0
2019,AL,Craíbas                         ,Nordeste,,193.0,42566.4,,42566.4,,,,,,,,
2019,AL,Delmiro Gouveia                 ,Nordeste,,5136.0,439174.32,,276976.08,155934.24,,,25640.04,,,,
2019,AL,Dois Riachos                    ,Nordeste,,,,,,,,,,,,,
2019,AL,Estrela de Alagoas              ,Nordeste,,,,,,,,,,,,,
2019,AL,Feira Grande                    ,Nordeste,,,,,,,,,,,,,
2019,AL,Feliz Deserto                   ,Nordeste,,,,,,,,,,,,,
2019,AL,Flexeiras                       ,Nordeste,,590.0,46474.07,,46474.07,,,,,,125.89,,
2019,AL,Girau do Ponciano               ,Nordeste,,,,,,,,,,,,,
2019,AL,Ibateguara                      ,Nordeste,,162.0,35915.4,,35915.4,,,,,,,,
2019,AL,Igaci                           ,Nordeste,,,,,,,,,,,,,
2019,AL,Igreja Nova                     ,Nordeste,,,,,,,,,,,,,
2019,AL,Inhapi                          ,Nordeste,,,,,,,,,,,,,
2019,AL,Jacaré dos Homens               ,Nordeste,,,,,,,,,,,,,
2019,AL,Jacuípe                         ,Nordeste,,,,,,,,,,,,,
2019,AL,Japaratinga                     ,Nordeste,,,,,,,,,,,,,
2019,AL,Jaramataia                      ,Nordeste,,,,,,,,,,,,,
2019,AL,Jequiá da Praia                 ,Nordeste,,,,,,,,,,,,,
2019,AL,Joaquim Gomes                   ,Nordeste,,2149.0,111022.19,,106406.19,,,,,,183.72,,
2019,AL,Jundiá                          ,Nordeste,,,,,,,,,,,,,
2019,AL,Junqueiro                       ,Nordeste,,4853.0,190944.48,,180978.99,,,,,,2010.38,,
2019,AL,Lagoa da Canoa                  ,Nordeste,,,,,,,,,,,,,
2019,AL,Limoeiro de Anadia              ,Nordeste,,,,,,,,,,,,,
2019,AL,Maceió                          ,Nordeste,,2295904.0,112435166.39,3188954.43,38502657.36,37533060.73,480933.58,12526294.2,2018459.0,1660611.0,2931963.41,28899.66,16203.0
2019,AL,Major Isidoro                   ,Nordeste,,,,,,,,,,,,,
2019,AL,Maragogi                        ,Nordeste,,807.0,107463.8,,105085.8,,,,,,,,
2019,AL,Maravilha                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Marechal Deodoro                ,Nordeste,,,,,,,,,,,,,
2019,AL,Maribondo                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Mar Vermelho                    ,Nordeste,,,,,,,,,,,,,
2019,AL,Mata Grande                     ,Nordeste,,2370.0,98810.02,62.15,93947.87,,,,,,317.33,,
2019,AL,Matriz de Camaragibe            ,Nordeste,,170.0,49292.87,,49292.87,,,,,,,,
2019,AL,Messias                         ,Nordeste,,,,,,,,,,,,,
2019,AL,Minador do Negrão               ,Nordeste,,,,,,,,,,,,,
2019,AL,Monteirópolis                   ,Nordeste,,,,,,,,,,,,,
2019,AL,Murici                          ,Nordeste,,3967.0,109169.66,,106291.97,741.69,,,,,,,
2019,AL,Novo Lino                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Olho d'Água das Flores          ,Nordeste,,,,,,,,,,,,,
2019,AL,Olho d'Água do Casado           ,Nordeste,,,,,,,,,,,,,
2019,AL,Olho d'Água Grande              ,Nordeste,,,,,,,,,,,,,
2019,AL,Olivença                        ,Nordeste,,,,,,,,,,,,,
2019,AL,Ouro Branco                     ,Nordeste,,,,,,,,,,,,,
2019,AL,Palestina                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Palmeira dos Índios             ,Nordeste,,88736.0,6380940.23,121877.09,1615840.69,2377111.3,,145881.63,338892.97,3776.33,3746.74,,158.0
2019,AL,Pão de Açúcar                   ,Nordeste,,2156.0,198052.28,,138076.49,59975.79,,,4581.41,,137.79,,
2019,AL,Pariconha                       ,Nordeste,,,,,,,,,,,,,
2019,AL,Paripueira                      ,Nordeste,,,,,,,,,,,,,
2019,AL,Passo de Camaragibe             ,Nordeste,,,,,,,,,,,,,
2019,AL,Paulo Jacinto                   ,Nordeste,,47.0,14879.4,,14879.4,,,,,,,,
2019,AL,Penedo                          ,Nordeste,,35435.0,2570741.8,42951.84,1010848.58,1210629.18,,13899.43,240789.53,2172.32,800.67,,15.0
2019,AL,Piaçabuçu                       ,Nordeste,,46.0,10382.2,,10198.2,,,,,,,,
2019,AL,Pilar                           ,Nordeste,,7943.0,1015966.17,,428857.22,579452.95,,,190271.07,531.9,,,
2019,AL,Pindoba                         ,Nordeste,,,,,,,,,,,,,
2019,AL,Piranhas                        ,Nordeste,,4131.0,307250.62,,299322.62,,,,,,,,
2019,AL,Poço das Trincheiras            ,Nordeste,,,,,,,,,,,,,
2019,AL,Porto Calvo                     ,Nordeste,,2574.0,195335.06,236.0,191845.78,,,,,,,,
